Date,Open,High,Low,Close,Adj Close,Volume
2015-05-05,89.500000,90.000000,88.320000,89.760002,76.860275,5104387
2015-05-06,89.699997,89.949997,88.209999,88.650002,75.909798,3942600
2015-05-07,88.209999,89.599998,88.099998,88.900002,76.123863,3096133
2015-05-08,88.629997,90.599998,88.629997,90.389999,77.399727,7924687
2015-05-11,89.510002,91.000000,89.510002,90.849998,77.793640,4625684
2015-05-12,90.120003,90.120003,88.839996,88.989998,76.200935,5000380
2015-05-13,88.720001,89.690002,88.410004,88.589996,75.858406,3404681
2015-05-14,88.410004,89.000000,87.809998,88.080002,75.421715,3553106
2015-05-15,87.730003,88.900002,87.730003,88.470001,75.755669,2625412
2015-05-18,88.010002,88.889999,87.610001,88.629997,75.892662,3173166
2015-05-19,88.349998,88.989998,87.650002,87.779999,75.164833,4689289
2015-05-20,88.400002,88.400002,86.650002,86.940002,74.445549,5038513
2015-05-21,86.900002,87.800003,86.699997,87.070000,74.556854,4544862
2015-05-22,87.169998,87.470001,86.510002,86.730003,74.265724,3349926
2015-05-25,86.730003,87.190002,86.349998,86.870003,74.385605,430054
2015-05-26,86.879997,87.190002,85.739998,86.070000,73.700569,6011965
2015-05-27,85.709999,86.690002,85.260002,85.730003,73.409454,3886464
2015-05-28,85.500000,87.089996,85.500000,86.930000,74.436996,3643311
2015-05-29,86.699997,87.320000,86.330002,86.930000,74.436996,9297637
2015-06-01,86.349998,87.320000,85.459999,85.620003,73.315247,3258494
2015-06-02,86.290001,86.480003,85.379997,85.779999,73.452255,3755030
2015-06-03,85.550003,86.320000,84.949997,85.279999,73.024124,4684060
2015-06-04,86.000000,86.250000,85.010002,86.110001,73.734825,3930621
2015-06-05,85.669998,86.790001,85.320000,85.540001,73.246742,2797626
2015-06-08,85.110001,85.559998,85.010002,85.419998,73.143990,2143232
2015-06-09,85.750000,87.099998,85.449997,86.629997,74.180092,5143186
2015-06-10,87.059998,87.080002,86.000000,86.300003,73.897530,5620411
2015-06-11,86.300003,86.699997,85.709999,86.129997,73.751953,4493410
2015-06-12,86.599998,86.599998,85.250000,86.169998,73.786209,2135522
2015-06-15,86.150002,86.150002,84.139999,84.769997,72.587395,4716496
2015-06-16,84.410004,87.300003,84.410004,86.110001,73.734825,5297747
2015-06-17,86.000000,87.019997,84.989998,85.129997,72.895668,5130448
2015-06-18,85.080002,87.169998,85.080002,86.919998,74.428413,3244261
2015-06-19,86.900002,87.290001,86.209999,87.010002,74.505493,15079908
2015-06-22,87.010002,87.889999,86.410004,87.750000,75.139145,2612089
2015-06-23,87.699997,88.250000,87.620003,87.860001,75.233322,3917622
2015-06-24,87.680000,88.150002,87.199997,87.410004,74.848015,6785127
2015-06-25,87.010002,87.489998,86.099998,86.260002,73.863274,9447714
2015-06-26,85.989998,86.580002,85.589996,86.389999,73.974586,3478204
2015-06-29,85.400002,86.330002,83.669998,84.230003,72.125015,5177358
2015-06-30,84.110001,86.800003,84.010002,86.239998,73.846146,10526882
2015-07-01,86.300003,86.849998,85.550003,86.379997,73.966019,3692645
2015-07-02,86.500000,86.800003,86.010002,86.550003,74.111595,4502693
2015-07-03,86.570000,86.570000,85.550003,85.720001,73.400887,639139
2015-07-06,85.669998,86.699997,85.089996,86.529999,74.094467,2153083
2015-07-07,86.529999,86.800003,85.410004,86.639999,74.188675,3573529
2015-07-08,86.540001,87.620003,86.500000,86.959999,74.462669,5321719
2015-07-09,86.949997,88.150002,86.860001,87.910004,75.276138,3566142
2015-07-10,87.519997,89.790001,87.209999,89.430000,76.577705,5392254
2015-07-13,89.650002,89.870003,88.459999,88.930000,76.149559,4728107
2015-07-14,88.410004,88.500000,88.110001,88.239998,75.558716,12492125
2015-07-15,88.260002,88.980003,87.820000,88.099998,75.438843,3447383
2015-07-16,88.500000,88.879997,87.199997,87.449997,74.882256,3513889
2015-07-17,87.769997,87.769997,86.940002,87.220001,74.685310,2289878
2015-07-20,87.220001,89.360001,87.180000,87.809998,75.190514,2746019
2015-07-21,88.110001,88.290001,86.919998,87.239998,74.702431,4599358
2015-07-22,87.239998,87.750000,85.199997,85.970001,73.614952,8271674
2015-07-23,86.500000,86.500000,85.300003,85.820000,73.486504,3978852
2015-07-24,86.080002,86.290001,84.000000,84.650002,72.484650,9420763
2015-07-27,84.300003,85.449997,84.019997,84.550003,72.399025,3364757
2015-07-28,85.150002,85.620003,84.849998,85.440002,73.372437,6351993
2015-07-29,85.440002,86.849998,85.150002,85.889999,73.758865,4535352
2015-07-30,85.559998,86.050003,85.209999,85.860001,73.733116,3138490
2015-07-31,85.870003,86.400002,84.639999,84.800003,72.822830,7107869
2015-08-03,84.699997,86.239998,84.699997,86.019997,73.870514,4639499
2015-08-04,86.019997,86.690002,82.739998,85.930000,73.793221,7461111
2015-08-05,85.989998,86.199997,83.639999,83.940002,72.084297,4602244
2015-08-06,84.480003,85.279999,84.279999,85.010002,73.003166,3983327
2015-08-07,85.379997,85.379997,84.879997,85.099998,73.080437,2634982
2015-08-10,85.389999,85.690002,84.610001,84.910004,72.917290,2663099
2015-08-11,85.330002,85.330002,83.620003,83.889999,72.041359,3148153
2015-08-12,84.040001,84.260002,82.500000,83.400002,71.620560,5438761
2015-08-13,83.680000,84.809998,83.669998,84.440002,72.513672,7281688
2015-08-14,84.250000,84.410004,82.500000,82.989998,71.268471,3919098
2015-08-17,82.570000,82.570000,80.809998,81.760002,70.212189,8057718
2015-08-18,81.660004,81.870003,80.120003,80.589996,69.207436,5063965
2015-08-19,80.099998,81.190002,78.760002,79.080002,67.910721,8401396
2015-08-20,79.000000,79.870003,78.550003,79.489998,68.262802,7199412
2015-08-21,79.000000,79.000000,76.000000,77.029999,66.150261,11656308
2015-08-24,73.209999,76.989998,72.190002,76.510002,65.703712,9121589
2015-08-25,79.489998,79.800003,77.010002,78.709999,67.592972,14579507
2015-08-26,78.709999,79.709999,78.000000,78.930000,67.781906,7140636
